rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals_against,penalty_kicks_allowed,free_kick_goals_against,corner_kick_goals_against,own_goals_against,post_shot_expected_goals,post_shot_expected_goals_per_shot,post_shot_expected_goals_plus_minus,post_shot_expected_goals_plus_minus_per_90,launches,launch_pct,avg_launch_distance,goal_kicks,crosses_faced,crosses_stopped,cross_stop_pct,defensive_actions_outside_penalty_area,defensive_actions_outside_penalty_area_per_90,avg_distance_defensive_actions,opponent_penalty_area_entries_stopped,keeper_stops,keeper_stop_pct,keeper_opa,keeper_opa_per_90,keeper_avg_distance,season,table_type,processed_at
72,Arijanet Muric,KVX,GK,Sassuolo,Serie A,0.0,1998,5.0,6,1,0,1,1,8.1,0.27,3.1,0.62,37,85,43.5,161,27,41.6,35.5,0,0,0,71,8,11.3,1,0.2,11.9,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
73,Yvon Mvogo,SUI,GK,Lorient,Ligue 1,0.0,1994,4.0,8,2,0,3,0,5.7,0.33,-2.3,-0.56,17,47,36.2,136,15,28.7,31.5,0,0,0,68,7,10.3,4,1.0,13.3,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
74,Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,0.0,1986,6.0,3,0,1,0,0,3.0,0.23,0.0,0.0,29,61,47.5,231,27,23.4,29.9,0,0,0,60,1,1.7,20,3.33,23.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
75,Moritz Nicolas,GER,GK,Gladbach,Bundesliga,0.0,1997,6.0,12,1,0,3,0,9.1,0.29,-2.9,-0.49,17,42,40.5,165,26,20.6,26.2,0,0,0,65,5,7.7,9,1.5,15.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
76,Obed Nkambadio,FRA,GK,Paris FC,Ligue 1,0.0,2003,6.0,11,2,0,1,0,8.9,0.27,-2.1,-0.35,16,60,26.7,205,24,22.9,29.1,0,0,0,73,0,0.0,5,0.83,14.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
77,Alexander Nübel,GER,GK,Stuttgart,Bundesliga,0.0,1996,6.0,6,1,0,0,0,6.6,0.26,0.6,0.09,31,68,45.6,206,30,26.7,30.5,0,0,0,102,9,8.8,8,1.33,14.3,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
78,Ørjan Nyland,NOR,GK,Sevilla,La Liga,0.0,1990,4.0,7,1,1,1,0,6.3,0.34,-0.7,-0.17,14,48,29.2,114,13,31.6,35.4,0,0,0,52,0,0.0,5,1.25,17.6,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
79,Jan Oblak,SVN,GK,Atlético Madrid,La Liga,0.0,1993,8.0,10,1,0,0,0,7.2,0.3,-2.8,-0.35,42,96,43.8,199,27,30.2,32.3,0,0,0,100,5,5.0,6,0.75,11.6,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
80,Berke Özer,TUR,GK,Lille,Ligue 1,0.0,2000,6.0,9,0,1,1,0,11.4,0.47,2.4,0.4,26,68,38.2,189,15,30.2,31.1,0,0,0,65,2,3.1,7,1.17,15.9,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
81,Iñaki Peña,ESP,GK,Elche,La Liga,0.0,1999,3.0,4,1,0,0,0,3.4,0.22,-0.6,-0.19,16,53,30.2,165,12,28.5,29.2,0,0,0,56,2,3.6,5,1.67,14.1,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
82,Mike Penders,BEL,GK,Strasbourg,Ligue 1,0.0,2005,6.0,7,0,0,0,0,6.0,0.3,-1.0,-0.17,16,45,35.6,249,19,14.9,24.5,0,0,0,85,9,10.6,5,0.83,11.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
83,Lucas Perri,BRA,GK,Leeds United,Premier League,0.0,1997,3.0,5,1,0,2,0,3.0,0.3,-2.0,-0.66,17,71,23.9,91,12,57.1,42.8,0,0,0,35,2,5.7,0,0.0,9.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
84,Đorđe Petrović,SRB,GK,Bournemouth,Premier League,0.0,1999,7.0,8,0,0,2,0,8.2,0.3,0.2,0.03,30,90,33.3,157,32,36.3,34.5,0,0,0,88,8,9.1,13,1.86,14.7,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
