rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_minus_pk,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,non_penalty_xg,expected_assists,npxg_plus_xag,progressive_carries,progressive_passes,progressive_receives,goals_assists_minus_pk,xg_plus_xag,MP,Starts,Min,season,table_type,processed_at
1746,Fabián Ruiz Peña,ESP,MF,Paris S-G,Ligue 1,0.0,1996.0,0,0,0,3.9,1,1,2,1,0,0,1,0,0.6,0.6,0.3,0.9,8,40,15,0.51,0.23,5,4,350.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1747,Gerónimo Rulli,ARG,GK,Marseille,Ligue 1,0.0,1992.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1748,Georginio Rutter,FRA,"FW,MF",Brighton,Premier League,0.0,2002.0,0,0,0,4.1,0,1,1,0,0,0,1,0,0.3,0.3,1.2,1.5,7,15,17,0.25,0.37,6,4,367.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1749,Mathew Ryan,AUS,GK,Levante,La Liga,0.0,1992.0,0,0,0,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1750,Julian Ryerson,NOR,"DF,MF",Dortmund,Bundesliga,0.0,1997.0,0,0,0,2.6,0,2,2,0,0,0,1,0,0.0,0.0,1.0,1.0,11,24,21,0.78,0.39,5,2,231.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1751,Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,0.0,1992.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1752,Alexander Røssing-Lelesiit,NOR,"FW,MF",Hamburger SV,Bundesliga,0.0,2007.0,0,0,0,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,1,15,0.0,0.1,5,3,194.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1753,José Sá,POR,GK,Wolves,Premier League,0.0,1993.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.02,4,4,360.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1754,Elias Saad,TUN,"MF,FW",Augsburg,Bundesliga,0.0,1999.0,0,0,0,3.6,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.6,10,5,22,0.0,0.18,5,5,323.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1755,Stefano Sabelli,ITA,DF,Genoa,Serie A,0.0,1993.0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.0,0.0,2,2,131.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1756,Marcel Sabitzer,AUT,MF,Dortmund,Bundesliga,0.0,1994.0,0,0,0,4.8,0,1,1,0,0,0,1,0,0.3,0.3,0.2,0.6,4,32,6,0.21,0.12,5,5,430.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1757,Noah Sadiki,COD,MF,Sunderland,Premier League,0.0,2004.0,0,0,0,6.9,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,12,19,22,0.0,0.04,7,7,622.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1758,Umar Sadiq,NGA,FW,Real Sociedad,La Liga,0.0,1997.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,2,0,16.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1759,Alexis Saelemaekers,BEL,"DF,MF",Milan,Serie A,0.0,1999.0,0,0,0,5.6,1,1,2,1,0,0,1,0,0.6,0.6,0.7,1.3,17,16,30,0.36,0.22,6,6,504.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1760,Emir Sahiti,KVX,FW,Hamburger SV,Bundesliga,0.0,1998.0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,1,3,0.0,0.01,2,2,120.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1761,Osame Sahraoui,MAR,"FW,MF",Lille,Ligue 1,0.0,2001.0,0,0,0,1.1,1,1,2,1,0,0,0,0,0.4,0.4,0.3,0.7,4,9,23,1.75,0.57,5,0,103.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1762,Wesley Saïd,FRA,MF,Lens,Ligue 1,0.0,1995.0,0,0,0,5.4,2,2,4,1,1,1,0,0,2.6,1.8,2.1,3.9,9,21,21,0.56,0.87,7,6,486.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1763,Bukayo Saka,ENG,FW,Arsenal,Premier League,0.0,2001.0,0,0,0,3.8,2,0,2,1,1,1,0,0,1.2,0.4,0.8,1.3,19,6,46,0.26,0.54,5,4,346.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1764,Mathis Saka,FRA,MF,Toulouse,Ligue 1,0.0,2006.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,8.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1765,Álex Sala,ESP,MF,Lecce,Serie A,0.0,2001.0,0,0,0,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,4,5,0.0,0.1,2,2,104.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1766,Ibrahim Salah,MAR,FW,Rennes,Ligue 1,0.0,2001.0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.06,2,0,35.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1767,Mohamed Salah,EGY,FW,Liverpool,Premier League,0.0,1992.0,0,0,0,7.0,2,2,4,1,1,1,0,0,2.0,1.2,1.2,2.3,23,22,76,0.43,0.45,7,7,629.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1768,Jan Salas,ESP,MF,Mallorca,La Liga,0.0,2005.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,2,0,17.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1769,Kike Salas,ESP,DF,Sevilla,La Liga,0.0,2002.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,22,2,0.0,0.03,4,4,360.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1770,Manolis Saliakas,GRE,DF,St. Pauli,Bundesliga,0.0,1996.0,0,0,0,3.1,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.3,4,17,11,0.32,0.08,6,2,278.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1771,William Saliba,FRA,DF,Arsenal,Premier League,0.0,2001.0,0,0,0,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,16,3,0.0,0.04,6,5,409.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1772,José Salinas,ESP,"FW,DF",Espanyol,La Liga,0.0,2000.0,0,0,0,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,3,0,22.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1773,Mohammed Salisu,GHA,DF,Monaco,Ligue 1,0.0,1999.0,0,0,0,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,17,0,0.0,0.01,2,2,180.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1774,Lazar Samardzic,SRB,MF,Atalanta,Serie A,0.0,2002.0,0,0,0,2.8,1,1,2,1,0,0,0,0,0.5,0.5,0.9,1.4,9,19,25,0.72,0.5,5,3,249.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1775,Mbwana Samatta,TAN,FW,Le Havre,Ligue 1,0.0,1992.0,0,0,0,4.6,0,0,0,0,0,0,2,0,0.8,0.8,0.2,1.0,6,7,25,0.0,0.23,6,5,415.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1776,Mama Samba Baldé,GNB,FW,Brest,Ligue 1,0.0,1995.0,0,0,0,3.2,1,1,2,1,0,0,0,0,1.5,1.5,0.5,2.0,9,1,22,0.62,0.61,4,4,291.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1777,Brice Samba,FRA,GK,Rennes,Ligue 1,0.0,1994.0,0,0,0,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1778,Albert Sambi Lokonga,BEL,MF,Hamburger SV,Bundesliga,0.0,1999.0,0,0,0,1.0,1,0,1,1,0,0,0,0,0.3,0.3,0.2,0.4,1,5,7,0.97,0.43,3,1,93.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1779,Antonio Sanabria,PAR,FW,Cremonese,Serie A,0.0,1996.0,0,0,0,3.7,0,1,1,0,0,0,2,0,1.0,1.0,1.0,2.0,3,4,12,0.27,0.55,6,4,330.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1780,Oihan Sancet,ESP,MF,Athletic Club,La Liga,0.0,2000.0,0,0,0,4.8,1,0,1,0,1,1,0,0,2.0,1.2,0.4,1.6,10,19,34,0.0,0.5,6,5,433.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1781,Alexis Sánchez,CHI,"FW,MF",Sevilla,La Liga,0.0,1988.0,0,0,0,3.6,2,1,3,1,1,1,0,0,1.0,0.2,0.4,0.5,2,17,15,0.56,0.37,5,2,321.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1782,Antonio Sánchez,ESP,"MF,DF",Mallorca,La Liga,0.0,1997.0,0,0,0,3.0,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,2,10,10,0.0,0.01,7,3,274.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1783,Juanlu Sánchez,ESP,"DF,FW",Sevilla,La Liga,0.0,2003.0,0,0,0,4.4,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.5,15,12,29,0.23,0.11,6,4,400.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1784,Borja Sánchez Laborde,ESP,MF,Oviedo,La Liga,0.0,1996.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0,14.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1785,Manu Sánchez,ESP,DF,Levante,La Liga,0.0,2000.0,0,0,0,6.6,0,1,1,0,0,0,4,0,0.1,0.1,0.9,1.0,12,16,27,0.15,0.15,7,7,595.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1786,Robert Sánchez,ESP,GK,Chelsea,Premier League,0.0,1997.0,0,0,0,6.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,0,0,0,0.0,0.01,7,7,544.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1787,Jadon Sancho,ENG,FW,Aston Villa,Premier League,0.0,2000.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,6,0.0,0.21,1,0,9.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1788,Álex Sancris,ESP,"FW,MF",Getafe,La Liga,0.0,1997.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,4,3,11,0.0,0.13,4,1,180.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1789,Philipp Sander,GER,MF,Gladbach,Bundesliga,0.0,1998.0,0,0,0,3.8,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,3,19,8,0.0,0.13,5,4,341.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1790,James Sands,USA,MF,St. Pauli,Bundesliga,0.0,2000.0,0,0,0,5.7,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,2,26,14,0.0,0.07,6,6,516.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1791,Ibou Sané,SEN,"FW,MF",Metz,Ligue 1,0.0,2005.0,0,0,0,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,9,16,0.0,0.02,5,1,159.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1792,Sadibou Sané,SEN,DF,Metz,Ligue 1,0.0,2004.0,0,0,0,3.9,1,0,1,1,0,0,1,1,0.1,0.1,0.0,0.1,1,5,0,0.26,0.03,4,4,349.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1793,Arouna Sangante,SEN,DF,Le Havre,Ligue 1,0.0,2002.0,0,0,0,5.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,24,1,0.0,0.02,6,6,519.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1794,Ibrahim Sangaré,CIV,MF,Nott'ham Forest,Premier League,0.0,1997.0,0,0,0,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,22,1,0.0,0.01,5,4,352.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1795,Mamadou Sangare,MLI,MF,Lens,Ligue 1,0.0,2002.0,0,0,0,5.3,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,7,26,5,0.0,0.09,6,5,477.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1796,Nhoa Sangui,FRA,DF,Paris FC,Ligue 1,0.0,2006.0,0,0,0,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,8,11,19,0.0,0.24,7,3,289.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1797,Maroan Sannadi,MAR,FW,Athletic Club,La Liga,0.0,2001.0,0,0,0,2.5,1,0,1,1,0,0,2,0,1.0,1.0,0.6,1.6,2,4,15,0.4,0.63,7,2,227.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1798,Kaishu Sano,JPN,MF,Mainz 05,Bundesliga,0.0,2000.0,0,0,0,6.0,1,1,2,1,0,0,0,0,0.5,0.5,1.1,1.5,6,38,21,0.33,0.26,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1799,Morgan Sanson,FRA,MF,Nice,Ligue 1,0.0,1994.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,3,3,0.0,0.28,5,0,88.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1800,Baptiste Santamaria,FRA,MF,Valencia,La Liga,0.0,1995.0,0,0,0,5.8,1,1,2,1,0,0,1,0,0.4,0.4,1.0,1.4,6,25,4,0.35,0.23,8,6,519.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1801,Yellu Santiago,ESP,MF,Hellas Verona,Serie A,0.0,2004.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.82,1,0,1.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1802,Andrey Santos,BRA,MF,Chelsea,Premier League,0.0,2004.0,0,0,0,1.9,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,4,12,7,0.0,0.25,5,1,174.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1803,Kauã Santos,BRA,GK,Eint Frankfurt,Bundesliga,0.0,2003.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,3,3,270.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1804,Tiago Santos,POR,DF,Lille,Ligue 1,0.0,2002.0,0,0,0,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2,9,0.0,0.03,2,1,104.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1805,Jeremy Sarmiento,ECU,MF,Cremonese,Serie A,0.0,2002.0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.0,0.34,2,0,34.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1806,Amin Sarr,SWE,FW,Hellas Verona,Serie A,0.0,2001.0,0,0,0,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,7,3,12,0.0,0.26,6,2,213.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1807,Ismaila Sarr,SEN,"MF,FW",Crystal Palace,Premier League,0.0,1998.0,0,0,0,4.8,3,1,4,3,0,0,1,0,2.9,2.9,0.5,3.4,11,17,23,0.84,0.71,5,5,431.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1808,Malang Sarr,FRA,DF,Lens,Ligue 1,0.0,1999.0,0,0,0,7.0,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,21,0,0.0,0.06,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1809,Mamadou Sarr,FRA,DF,Strasbourg,Ligue 1,0.0,2005.0,0,0,0,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,12,2,0.0,0.01,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1810,Martin Satriano,URU,FW,Lyon,Ligue 1,0.0,2001.0,0,0,0,1.9,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.9,2,4,4,0.53,0.47,2,2,170.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1811,Mario Sauer,SVK,MF,Toulouse,Ligue 1,0.0,2004.0,0,0,0,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,4,13,5,0.0,0.05,7,5,346.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1812,Razvan Sava,ROU,GK,Udinese,Serie A,0.0,2002.0,0,0,0,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1813,Sávio,BRA,MF,Manchester City,Premier League,0.0,2004.0,0,0,0,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,4,11,0.0,0.03,4,2,169.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1814,Nicolò Savona,ITA,"DF,MF",Nott'ham Forest,Premier League,0.0,2003.0,0,0,0,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,5,0.0,0.01,2,1,144.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1815,Joe Scally,USA,DF,Gladbach,Bundesliga,0.0,2002.0,0,0,0,4.9,0,2,2,0,0,0,4,0,0.3,0.3,0.7,1.0,11,14,29,0.41,0.21,5,5,444.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1816,Giorgio Scalvini,ITA,DF,Atalanta,Serie A,0.0,2003.0,0,0,0,2.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.3,1,19,7,0.34,0.12,3,3,264.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1817,Gianluca Scamacca,ITA,FW,Atalanta,Serie A,0.0,1999.0,0,0,0,1.5,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.9,0,3,14,0.67,0.58,2,2,134.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1818,Kevin Schade,GER,FW,Brentford,Premier League,0.0,2001.0,0,0,0,6.4,1,0,1,1,0,1,2,0,1.7,0.9,0.6,1.6,10,2,18,0.16,0.37,7,6,572.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1819,András Schäfer,HUN,MF,Union Berlin,Bundesliga,0.0,1999.0,0,0,0,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,4,3,0.0,0.05,4,2,186.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1820,Fabian Schär,SUI,DF,Newcastle Utd,Premier League,0.0,1991.0,0,0,0,3.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,13,1,0.0,0.05,4,4,350.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1821,Derry Scherhant,GER,"FW,MF",Freiburg,Bundesliga,0.0,2002.0,0,0,0,1.3,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,5,2,10,0.78,0.28,5,0,115.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1822,Patrik Schick,CZE,FW,Leverkusen,Bundesliga,0.0,1996.0,0,0,0,4.7,3,1,4,1,2,2,0,0,2.9,1.4,0.3,1.7,1,5,16,0.42,0.7,5,5,424.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1823,Stefan Schimmer,GER,"FW,MF",Heidenheim,Bundesliga,0.0,1994.0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,1,2,0.0,0.76,2,0,40.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1824,Xaver Schlager,AUT,MF,RB Leipzig,Bundesliga,0.0,1997.0,0,0,0,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,8,16,4,0.0,0.17,3,3,189.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1825,Keven Schlotterbeck,GER,DF,Augsburg,Bundesliga,0.0,1997.0,0,0,0,3.5,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,0,14,11,0.0,0.07,4,3,315.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1826,Nico Schlotterbeck,GER,DF,Dortmund,Bundesliga,0.0,1999.0,0,0,0,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,20,0,0.0,0.03,3,3,270.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1827,Romano Schmid,AUT,"MF,FW",Werder Bremen,Bundesliga,0.0,2000.0,0,0,0,5.6,2,0,2,0,2,3,0,0,2.6,0.2,1.8,2.0,10,47,27,0.0,0.77,6,6,506.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1828,Isaac Schmidt,SUI,"DF,MF",Werder Bremen,Bundesliga,0.0,1999.0,0,0,0,1.2,1,0,1,1,0,0,1,0,0.8,0.8,0.2,1.0,6,7,8,0.83,0.82,4,0,108.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1829,Joël Schmied,SUI,DF,Köln,Bundesliga,0.0,1998.0,0,0,0,5.4,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,2,5,1,0.0,0.02,6,5,489.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1830,Jan Schöppner,GER,"MF,DF",Heidenheim,Bundesliga,0.0,1999.0,0,0,0,4.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,5,11,11,0.0,0.04,5,5,427.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1831,Marvin Schwäbe,GER,GK,Köln,Bundesliga,0.0,1995.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1832,Léo Scienza,BRA,"MF,FW",Heidenheim,Bundesliga,0.0,1998.0,0,0,0,2.0,1,0,1,1,0,0,0,0,0.1,0.1,1.1,1.3,11,3,10,0.5,0.63,2,2,180.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1833,Alex Scott,ENG,MF,Bournemouth,Premier League,0.0,2003.0,0,0,0,5.0,1,0,1,1,0,0,1,0,0.4,0.4,0.3,0.6,12,13,15,0.2,0.13,7,6,449.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1834,Sebastian Sebulonsen,NOR,DF,Köln,Bundesliga,0.0,2000.0,0,0,0,5.3,0,0,0,0,0,0,1,0,0.5,0.5,1.1,1.6,3,4,25,0.0,0.3,6,6,477.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1835,Jenson Seelt,NED,DF,Sunderland,Premier League,0.0,2003.0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,14,0,0.0,0.0,2,1,134.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1836,Jenson Seelt,NED,DF,Wolfsburg,Bundesliga,0.0,2003.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,6.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1837,Alidu Seidu,GHA,DF,Rennes,Ligue 1,0.0,2000.0,0,0,0,3.2,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.8,7,25,13,0.31,0.24,5,3,288.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1838,Nicolas Seiwald,AUT,MF,RB Leipzig,Bundesliga,0.0,2001.0,0,0,0,5.2,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,6,4,0.0,0.07,6,5,471.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1839,Ayumu Seko,JPN,"MF,DF",Le Havre,Ligue 1,0.0,2000.0,0,0,0,6.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,13,7,0.0,0.05,7,6,562.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1840,Matz Sels,BEL,GK,Nott'ham Forest,Premier League,0.0,1992.0,0,0,0,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1841,Antoine Semenyo,GHA,"FW,MF",Bournemouth,Premier League,0.0,2000.0,0,0,0,7.0,6,3,9,5,1,1,1,0,3.6,2.8,0.5,3.3,22,24,40,1.14,0.58,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1842,Adrian Šemper,CRO,GK,Pisa,Serie A,0.0,1998.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1843,Marvin Senaya,TOG,DF,Auxerre,Ligue 1,0.0,2001.0,0,0,0,6.8,0,0,0,0,0,0,3,0,0.6,0.6,0.1,0.7,9,16,15,0.0,0.1,7,7,612.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1844,Marcos Senesi,ARG,DF,Bournemouth,Premier League,0.0,1997.0,0,0,0,6.9,0,2,2,0,0,0,1,0,0.1,0.1,0.3,0.4,4,40,2,0.29,0.06,7,7,617.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1845,Suat Serdar,GER,MF,Hellas Verona,Serie A,0.0,1997.0,0,0,0,5.7,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.3,10,32,7,0.17,0.23,6,6,515.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1846,Nicolás Serrano,ESP,FW,Athletic Club,La Liga,0.0,2003.0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,6,5,20,0.0,0.32,3,2,117.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1847,Benjamin Šeško,SVN,FW,Manchester Utd,Premier League,0.0,2003.0,0,0,0,4.3,2,0,2,2,0,0,0,0,1.6,1.6,0.2,1.8,3,5,17,0.47,0.42,7,4,387.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1848,Ryan Sessegnon,ENG,DF,Fulham,Premier League,0.0,2000.0,0,0,0,5.3,1,0,1,1,0,0,0,0,0.5,0.5,0.8,1.2,14,18,33,0.19,0.23,6,6,476.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
