Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 21_level_0_Int,Unnamed: 22_level_0_Tkl+Int,Unnamed: 23_level_0_Clr,Unnamed: 24_level_0_Err,Unnamed: 25_level_0_Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,38-122,1987,6.1,7,5,2,5,0,1,6,16.7,5,3,0,3,5,12,1,0,Matches
127,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,22-012,2003,5.2,7,3,2,4,1,2,3,66.7,1,7,1,6,5,12,4,0,Matches
128,Lorenz Assignon,tg TOG,DF,Stuttgart,de Bundesliga,25-162,2000,5.5,7,5,5,2,0,4,7,57.1,3,9,2,7,8,15,16,0,Matches
129,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-228,2005,6.8,10,5,6,0,4,3,11,27.3,8,5,0,5,8,18,10,2,Matches
130,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-224,2002,10.4,18,7,10,8,0,10,13,76.9,3,13,9,4,16,34,80,2,Matches
131,Zachary Athekame,ch SUI,"DF,FW",Milan,it Serie A,20-353,2004,1.2,2,1,1,1,0,1,3,33.3,2,0,0,0,1,3,2,0,Matches
132,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-321,2003,12.3,13,6,1,10,2,5,16,31.3,11,10,1,9,6,19,15,0,Matches
133,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-190,2002,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,0,Matches
134,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-166,1989,8.8,2,0,0,1,1,1,4,25.0,3,3,0,3,3,5,3,0,Matches
135,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-317,1997,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1,Matches
136,Carlos Augusto,br BRA,DF,Inter,it Serie A,26-328,1999,5.3,10,6,4,3,3,7,7,100.0,0,4,2,2,2,12,13,0,Matches
