Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Unnamed: 11_level_0_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 27_level_0_Matches
93,Đorđe Petrović,rs SRB,GK,Bournemouth,eng Premier League,26-054,1999,13,13,1170,13.0,23,1.77,61,38,65.6,5,4,4,4,30.8,2,2,0,0,0.0,Matches
94,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,31-269,1994,13,13,1170,13.0,17,1.31,55,37,70.9,5,3,5,4,30.8,2,1,1,0,50.0,Matches
95,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,33-226,1992,12,12,1066,11.8,13,1.10,51,39,74.5,4,3,5,5,41.7,0,0,0,0,,Matches
96,Ivan Provedel,it ITA,GK,Lazio,it Serie A,31-259,1994,13,13,1170,13.0,10,0.77,58,48,82.8,5,3,5,7,53.8,0,0,0,0,,Matches
97,Ionuț Radu,ro ROU,GK,Celta Vigo,es La Liga,28-187,1997,14,14,1260,14.0,19,1.36,63,44,73.0,3,7,4,1,7.1,5,2,1,2,33.3,Matches
98,Diant Ramaj,de GER,GK,Heidenheim,de Bundesliga,24-073,2001,12,12,1080,12.0,27,2.25,65,38,61.5,2,2,8,0,0.0,2,2,0,0,0.0,Matches
99,Aaron Ramsdale,eng ENG,GK,Newcastle Utd,eng Premier League,27-201,1998,2,1,104,1.2,3,2.60,5,2,60.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches
100,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,26-020,1999,2,2,180,2.0,0,0.00,6,6,100.0,2,0,0,2,100.0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
101,David Raya,es ESP,GK,Arsenal,eng Premier League,30-077,1995,13,13,1170,13.0,7,0.54,27,20,74.1,9,3,1,7,53.8,0,0,0,0,,Matches
102,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,30-252,1995,14,14,1260,14.0,21,1.50,49,29,59.2,4,4,6,1,7.1,1,1,0,0,0.0,Matches
103,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,20-265,2005,14,14,1260,14.0,19,1.36,46,27,67.4,4,5,5,4,28.6,4,4,0,0,0.0,Matches
104,Lasse Rieß,de GER,GK,Mainz 05,de Bundesliga,24-127,2001,4,3,292,3.2,12,3.70,26,14,57.7,0,0,3,0,0.0,1,1,0,0,0.0,Matches
105,Robin Risser,fr FRA,GK,Lens,fr Ligue 1,20-364,2004,14,14,1260,14.0,12,0.86,51,38,80.4,10,1,3,4,28.6,4,2,1,1,33.3,Matches
106,Robin Roefs,nl NED,GK,Sunderland,eng Premier League,22-318,2003,13,13,1170,13.0,13,1.00,59,45,78.0,6,4,3,4,30.8,1,0,1,0,100.0,Matches
107,Leo Román,es ESP,GK,Mallorca,es La Liga,25-148,2000,10,10,900,10.0,15,1.50,47,31,72.3,2,3,5,1,10.0,3,2,1,0,33.3,Matches
108,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,33-195,1992,11,11,990,11.0,11,1.00,42,32,76.2,6,2,3,4,36.4,1,1,0,0,0.0,Matches
109,Mathew Ryan,au AUS,GK,Levante,es La Liga,33-237,1992,12,12,1080,12.0,21,1.75,61,41,67.2,2,3,7,2,16.7,1,1,0,0,0.0,Matches
110,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,33-119,1992,12,12,1080,12.0,19,1.58,57,38,71.9,4,3,5,3,25.0,3,3,0,0,0.0,Matches
111,José Sá,pt POR,GK,Wolves,eng Premier League,32-318,1993,4,4,360,4.0,11,2.75,16,5,31.3,0,0,4,0,0.0,0,0,0,0,,Matches
112,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31-220,1994,14,14,1260,14.0,18,1.29,54,35,72.2,6,6,2,4,28.6,4,3,1,0,25.0,Matches
113,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,28-013,1997,13,13,1084,12.0,10,0.83,32,22,68.8,7,3,3,6,46.2,0,0,0,0,,Matches
114,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,22-234,2003,4,4,360,4.0,13,3.25,21,8,38.1,1,1,2,0,0.0,0,0,0,0,,Matches
115,Razvan Sava,ro ROU,GK,Udinese,it Serie A,23-163,2002,6,6,540,6.0,9,1.50,21,12,57.1,2,2,2,1,16.7,0,0,0,0,,Matches
116,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,30-220,1995,12,12,1080,12.0,20,1.67,60,39,71.7,4,3,5,2,16.7,4,3,1,0,25.0,Matches
117,Simone Scuffet,it ITA,GK,Pisa,it Serie A,29-184,1996,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
118,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,33-278,1992,13,13,1170,13.0,22,1.69,65,43,70.8,3,3,7,1,7.7,3,3,0,0,0.0,Matches
119,Adrian Šemper,hr CRO,GK,Pisa,it Serie A,27-323,1998,12,12,1080,12.0,16,1.33,58,42,72.4,1,7,4,4,33.3,0,0,0,0,,Matches
120,Marco Silvestri,it ITA,GK,Cremonese,it Serie A,34-274,1991,4,4,360,4.0,7,1.75,22,15,68.2,0,3,1,0,0.0,0,0,0,0,,Matches
121,Unai Simón,es ESP,GK,Athletic Club,es La Liga,28-173,1997,14,14,1260,14.0,17,1.21,52,36,67.3,6,2,6,4,28.6,0,0,0,0,,Matches
122,Antonio Sivera,es ESP,GK,Alavés,es La Liga,29-112,1996,14,14,1260,14.0,15,1.07,47,32,70.2,4,3,7,2,14.3,1,1,0,0,0.0,Matches
123,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,34-210,1991,10,10,817,9.1,8,0.88,26,18,76.9,5,3,2,3,30.0,2,2,0,0,0.0,Matches
124,Yann Sommer,ch SUI,GK,Inter,it Serie A,36-349,1988,11,11,990,11.0,12,1.09,37,25,73.0,7,0,4,5,45.5,2,2,0,0,0.0,Matches
125,David Soria,es ESP,GK,Getafe,es La Liga,32-241,1993,14,14,1260,14.0,15,1.07,59,46,76.3,6,2,6,4,28.6,1,1,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
126,Zion Suzuki,jp JPN,GK,Parma,it Serie A,23-102,2002,11,11,990,11.0,14,1.27,50,35,74.0,1,5,5,3,27.3,2,1,1,0,50.0,Matches
