Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
155,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,26-262,1999,5.3,14,7,5,7,2,9,77.8,2,6,2,4,6,20,26,0,Matches
156,Daniel Ballard,nir NIR,DF,Sunderland,eng Premier League,26-023,1999,2.5,5,2,3,1,1,3,100.0,0,5,5,0,1,6,33,1,Matches
157,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,33-287,1992,1.3,3,3,2,1,0,3,66.7,1,2,1,1,1,4,2,0,Matches
158,Fodé Ballo-Touré,sn SEN,DF,Metz,fr Ligue 1,28-285,1997,1.7,5,2,3,0,2,1,100.0,0,2,0,2,0,5,1,0,Matches
159,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,24-104,2001,3.7,2,2,0,1,1,1,0.0,1,2,0,2,2,4,0,0,Matches
160,Aladji Bamba,fr FRA,MF,Monaco,fr Ligue 1,19-093,2006,1.4,8,5,0,7,1,2,50.0,1,4,0,4,2,10,3,0,Matches
161,Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,23-309,2001,3.7,2,2,2,0,0,3,33.3,2,2,0,2,1,3,4,0,Matches
162,Lameck Banda,zm ZAM,"FW,MF",Lecce,it Serie A,24-259,2001,1.1,0,0,0,0,0,0,,0,2,0,2,1,1,1,0,Matches
163,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,18-318,2006,1.3,4,1,2,2,0,3,100.0,0,2,2,0,2,6,8,0,Matches
164,Ezechiel Banzuzi,nl NED,MF,RB Leipzig,de Bundesliga,20-241,2005,2.6,6,3,5,0,1,3,66.7,1,5,2,3,3,9,16,0,Matches
165,Tommaso Barbieri,it ITA,DF,Cremonese,it Serie A,23-050,2002,0.2,1,1,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
